发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间
20211021161208,开,关,开,48°C,50%,8,0分钟
20211021161216,开,关,开,48°C,50%,0,0分钟
20211021161218,开,关,开,48°C,50%,12,0分钟
20211021161222,开,关,开,48°C,50%,11,0分钟
20211021161224,开,关,开,48°C,50%,10,0分钟
20211021161232,开,关,开,48°C,50%,11,0分钟
20211021161234,开,关,开,48°C,50%,10,0分钟
20211021161236,开,关,开,48°C,50%,11,0分钟
20211021161238,开,关,开,48°C,50%,8,0分钟
20211021161240,开,关,开,48°C,50%,0,0分钟
20211021161244,开,关,开,48°C,50%,10,0分钟
20211021161251,开,关,开,47°C,50%,10,0分钟
20211021161252,开,关,开,47°C,50%,8,0分钟
20211021161257,开,关,开,47°C,50%,10,0分钟
20211021161259,开,关,开,47°C,50%,8,0分钟
20211021161303,开,关,开,47°C,50%,10,0分钟
20211021161305,开,关,开,47°C,50%,13,0分钟
20211021161307,开,关,开,47°C,50%,11,0分钟
20211021161319,开,关,开,47°C,50%,10,0分钟
20211021161325,开,关,开,47°C,50%,11,0分钟
20211021161327,开,关,开,47°C,50%,10,0分钟
20211021161329,开,关,开,47°C,50%,11,0分钟
20211021161333,开,关,开,47°C,50%,10,0分钟
20211021161335,开,关,开,47°C,50%,12,0分钟
20211021161337,开,关,开,47°C,50%,11,0分钟
20211021161339,开,关,开,47°C,50%,10,0分钟
20211021161345,开,关,开,47°C,50%,11,0分钟
20211021161347,开,关,开,47°C,50%,10,0分钟
20211021161353,开,关,开,47°C,50%,11,0分钟
20211021161355,开,关,开,47°C,50%,10,0分钟
20211021161357,开,关,开,47°C,50%,11,0分钟
20211021161401,开,关,开,47°C,50%,10,0分钟
20211021161405,开,关,开,47°C,50%,11,0分钟
20211021161409,开,关,开,47°C,50%,10,0分钟
20211021161411,开,关,开,47°C,50%,11,0分钟
20211021161413,开,关,开,47°C,50%,12,0分钟
20211021161415,开,关,开,47°C,50%,0,0分钟
20211021161614,开,关,开,46°C,50%,0,0分钟
20211021161621,开,开,关,45°C,50%,0,7分钟
20211021161721,开,开,关,45°C,50%,0,6分钟
20211021161804,开,开,关,45°C,50%,0,5分钟
20211021161836,开,开,关,44°C,50%,0,8分钟
20211021161936,开,开,关,44°C,50%,0,7分钟
20211021162123,开,开,关,44°C,50%,0,6分钟
20211021162130,开,开,关,45°C,50%,0,7分钟
20211021162206,开,开,关,45°C,50%,0,6分钟
20211021162248,开,开,关,46°C,50%,0,5分钟
20211021162304,开,开,关,46°C,50%,0,4分钟
20211021162307,开,开,关,46°C,50%,46,4分钟
20211021162311,开,开,关,47°C,50%,41,4分钟
20211021162313,开,开,关,47°C,50%,42,4分钟
20211021162315,开,开,关,46°C,50%,42,5分钟
20211021162317,开,开,关,46°C,50%,41,5分钟
20211021162319,开,开,关,46°C,50%,42,5分钟
20211021162323,开,开,关,47°C,50%,41,4分钟
20211021162325,开,开,关,47°C,50%,38,4分钟
20211021162327,开,开,关,47°C,50%,33,4分钟
20211021162329,开,开,关,47°C,50%,31,4分钟
20211021162331,开,开,关,47°C,50%,25,4分钟
20211021162333,开,开,关,47°C,50%,22,4分钟
20211021162335,开,开,关,47°C,50%,20,4分钟
20211021162339,开,开,关,47°C,50%,20,3分钟
20211021162341,开,开,关,47°C,50%,21,3分钟
20211021162347,开,开,关,47°C,50%,20,3分钟
20211021162351,开,开,关,47°C,50%,21,3分钟
20211021162355,开,开,关,47°C,50%,20,3分钟
20211021162357,开,开,关,47°C,50%,22,3分钟
20211021162359,开,开,关,47°C,50%,31,3分钟
20211021162403,开,开,关,47°C,50%,30,3分钟
20211021162405,开,开,关,47°C,50%,28,3分钟
20211021162409,开,开,关,47°C,50%,30,3分钟
20211021162411,开,开,关,47°C,50%,28,3分钟
20211021162415,开,开,关,47°C,50%,30,3分钟
20211021162417,开,开,关,47°C,50%,28,3分钟
20211021162425,开,开,关,47°C,50%,30,3分钟
20211021162431,开,开,关,47°C,50%,28,3分钟
20211021162433,开,开,关,47°C,50%,30,3分钟
20211021162435,开,开,关,47°C,50%,26,3分钟
20211021162444,开,开,关,47°C,50%,25,2分钟
20211021162445,开,开,关,47°C,50%,26,2分钟
20211021162514,开,开,关,47°C,50%,25,2分钟
20211021162516,开,关,开,47°C,100%,0,0分钟
20211021162818,开,关,开,47°C,50%,0,0分钟
20211021162820,开,关,开,47°C,50%,10,0分钟
20211021162822,开,关,开,47°C,50%,18,0分钟
20211021162826,开,开,关,47°C,50%,18,0分钟
20211021162832,开,开,关,47°C,50%,22,0分钟
20211021162834,开,开,关,47°C,50%,21,0分钟
20211021162838,开,开,关,47°C,50%,22,0分钟
20211021162840,开,开,关,47°C,50%,21,0分钟
20211021162842,开,开,关,47°C,50%,22,0分钟
20211021162844,开,开,关,47°C,50%,21,0分钟
20211021162852,开,开,关,47°C,50%,22,0分钟
20211021162854,开,开,关,47°C,50%,21,0分钟
20211021162904,开,开,关,47°C,50%,22,0分钟
20211021162906,开,开,关,47°C,50%,21,0分钟
20211021162912,开,开,关,47°C,50%,22,0分钟
20211021162914,开,开,关,47°C,50%,21,0分钟
20211021162920,开,开,关,47°C,50%,22,0分钟
20211021162922,开,开,关,47°C,50%,23,0分钟
20211021162924,开,开,关,47°C,50%,22,0分钟
20211021162926,开,开,关,47°C,50%,21,0分钟
20211021162932,开,开,关,47°C,50%,22,0分钟
20211021162934,开,开,关,47°C,50%,21,0分钟
20211021162940,开,开,关,47°C,50%,22,0分钟
20211021162945,开,开,关,47°C,50%,23,0分钟
20211021163027,开,开,关,47°C,50%,22,0分钟
20211021163029,开,开,关,47°C,50%,21,0分钟
20211021163049,开,开,关,47°C,50%,22,0分钟
20211021163051,开,开,关,47°C,50%,23,0分钟
20211021163053,开,关,开,47°C,100%,0,0分钟
20211021163127,开,关,开,47°C,50%,0,0分钟
20211021163216,开,关,开,46°C,50%,0,0分钟
20211021163222,开,关,开,47°C,50%,0,0分钟
20211021163234,开,关,开,46°C,50%,0,0分钟
20211021163240,开,关,开,47°C,50%,0,0分钟
20211021163343,开,关,开,46°C,50%,0,0分钟
20211021163345,开,开,关,46°C,50%,33,5分钟
20211021163349,开,开,关,46°C,50%,35,5分钟
20211021163351,开,开,关,46°C,50%,33,5分钟
20211021163359,开,开,关,46°C,50%,35,5分钟
20211021163401,开,开,关,46°C,50%,26,5分钟
20211021163403,开,关,开,46°C,100%,13,0分钟
20211021163405,开,关,开,46°C,50%,0,0分钟
20211021163407,开,关,开,46°C,50%,17,0分钟
20211021163409,开,开,关,46°C,50%,20,5分钟
20211021163427,开,开,关,46°C,50%,18,4分钟
20211021163433,开,开,关,46°C,50%,20,4分钟
20211021163437,开,开,关,46°C,50%,18,4分钟
20211021163453,开,开,关,46°C,50%,20,4分钟
20211021163456,开,开,关,46°C,50%,18,4分钟
20211021163500,开,开,关,46°C,50%,20,4分钟
20211021163502,开,开,关,46°C,50%,18,4分钟
20211021163508,开,开,关,46°C,50%,20,4分钟
20211021163510,开,开,关,46°C,50%,18,4分钟
20211021163514,开,开,关,46°C,50%,20,4分钟
20211021163516,开,开,关,46°C,50%,18,4分钟
20211021163518,开,开,关,46°C,50%,20,4分钟
20211021163520,开,开,关,46°C,50%,18,4分钟
20211021163522,开,开,关,46°C,50%,20,4分钟
20211021163524,开,开,关,46°C,50%,18,4分钟
20211021163526,开,开,关,46°C,50%,20,3分钟
20211021163530,开,开,关,46°C,50%,18,3分钟
20211021163534,开,开,关,46°C,50%,20,3分钟
20211021163536,开,开,关,46°C,50%,18,3分钟
20211021163540,开,开,关,46°C,50%,20,3分钟
20211021163544,开,开,关,46°C,50%,18,3分钟
20211021163546,开,开,关,46°C,50%,20,3分钟
20211021163552,开,开,关,46°C,50%,18,3分钟
20211021163608,开,开,关,46°C,50%,20,3分钟
20211021163610,开,开,关,45°C,50%,20,7分钟
20211021163612,开,开,关,45°C,50%,18,7分钟
20211021163614,开,开,关,45°C,50%,20,7分钟
20211021163626,开,开,关,45°C,50%,20,6分钟
20211021163633,开,开,关,46°C,50%,20,5分钟
20211021163635,开,开,关,45°C,50%,18,7分钟
20211021163639,开,开,关,45°C,50%,20,7分钟
20211021163641,开,开,关,45°C,50%,18,6分钟
20211021163648,开,开,关,45°C,50%,20,6分钟
20211021163649,开,开,关,45°C,50%,18,6分钟
20211021163655,开,开,关,45°C,50%,20,6分钟
20211021163657,开,开,关,45°C,50%,18,6分钟
20211021163659,开,开,关,45°C,50%,20,6分钟
20211021163701,开,开,关,45°C,50%,18,6分钟
20211021163703,开,开,关,45°C,50%,20,6分钟
20211021163709,开,开,关,45°C,50%,18,6分钟
20211021163711,开,开,关,44°C,50%,20,8分钟
20211021163715,开,开,关,44°C,50%,18,8分钟
20211021163721,开,开,关,45°C,50%,20,7分钟
20211021163727,开,开,关,44°C,50%,20,8分钟
20211021163731,开,开,关,44°C,50%,18,8分钟
20211021163733,开,开,关,44°C,50%,20,8分钟
20211021163741,开,开,关,44°C,50%,18,8分钟
20211021163743,开,开,关,44°C,50%,20,8分钟
20211021163745,开,开,关,44°C,50%,18,8分钟
20211021163747,开,开,关,44°C,50%,20,8分钟
20211021163749,开,开,关,44°C,50%,21,8分钟
20211021163751,开,开,关,44°C,50%,20,8分钟
20211021163753,开,开,关,44°C,50%,18,8分钟
20211021163803,开,开,关,44°C,50%,20,7分钟
20211021163805,开,开,关,44°C,50%,18,7分钟
20211021163807,开,开,关,44°C,50%,21,7分钟
20211021163809,开,开,关,44°C,50%,18,7分钟
20211021163812,开,开,关,43°C,25%,18,9分钟
20211021163815,开,开,关,43°C,25%,20,9分钟
20211021163818,开,开,关,43°C,25%,18,9分钟
20211021163824,开,开,关,43°C,25%,20,9分钟
20211021163826,开,开,关,43°C,25%,18,9分钟
20211021163828,开,开,关,43°C,25%,20,9分钟
20211021163830,开,开,关,43°C,25%,18,9分钟
20211021163842,开,开,关,43°C,25%,20,9分钟
20211021163846,开,开,关,43°C,25%,18,9分钟
20211021163902,开,开,关,42°C,25%,20,11分钟
20211021163909,开,开,关,42°C,25%,20,11分钟
20211021163926,关,关,关,42°C,25%,20,0分钟
20211021163932,关,关,关,41°C,25%,20,0分钟
20211021163938,开,开,关,41°C,25%,20,12分钟
20211021163953,关,关,关,41°C,25%,20,0分钟
20211021163954,关,关,关,41°C,25%,21,0分钟
20211021164003,关,关,关,41°C,25%,20,0分钟
20211021164009,关,关,关,40°C,25%,20,0分钟
20211021164011,关,关,关,40°C,25%,18,0分钟
20211021164021,关,关,关,40°C,25%,20,0分钟
20211021164023,关,关,关,40°C,25%,18,0分钟
20211021164027,关,关,关,40°C,25%,20,0分钟
20211021164039,关,关,关,39°C,25%,20,0分钟
20211021164043,关,关,关,39°C,25%,18,0分钟
20211021164101,关,关,关,39°C,25%,20,0分钟
20211021164103,关,关,关,39°C,25%,18,0分钟
20211021164111,关,关,关,38°C,25%,20,0分钟
20211021164130,关,关,关,38°C,25%,0,0分钟
20211021164228,关,关,关,37°C,25%,0,0分钟
20211021172614,关,关,关,36°C,25%,0,0分钟
20211021173754,关,关,关,36°C,25%,8,0分钟
20211021181041,关,关,关,36°C,25%,0,0分钟
20211021181242,关,关,关,36°C,25%,0,0分钟
20211021181248,关,关,关,37°C,25%,0,0分钟
20211021181300,关,关,关,36°C,25%,0,0分钟
20211021181319,关,关,关,37°C,25%,0,0分钟
20211021181343,关,关,关,36°C,25%,0,0分钟
20211021181407,关,关,关,37°C,25%,0,0分钟
20211021181419,关,关,关,36°C,25%,0,0分钟
20211021181425,关,关,关,37°C,25%,0,0分钟
20211021181443,关,关,关,36°C,25%,0,0分钟
20211021181449,关,关,关,37°C,25%,0,0分钟
20211021181502,关,关,关,36°C,25%,0,0分钟
20211021181508,关,关,关,37°C,25%,0,0分钟
20211021181602,关,关,关,36°C,25%,0,0分钟
20211021181614,关,关,关,37°C,25%,0,0分钟
20211021181626,关,关,关,36°C,25%,0,0分钟
20211021181632,关,关,关,37°C,25%,0,0分钟
20211021181645,关,关,关,36°C,25%,0,0分钟
20211021181651,关,关,关,37°C,25%,0,0分钟
20211021181739,关,关,关,36°C,25%,0,0分钟
20211021181751,关,关,关,37°C,25%,0,0分钟
20211021181757,关,关,关,36°C,25%,0,0分钟
20211021181904,关,关,关,37°C,25%,0,0分钟
20211021181910,关,关,关,36°C,25%,0,0分钟
20211021182017,关,关,关,37°C,25%,0,0分钟
20211021182023,关,关,关,36°C,25%,0,0分钟
20211021182029,关,关,关,37°C,25%,0,0分钟
20211021182035,关,关,关,36°C,25%,0,0分钟
20211021182047,关,关,关,37°C,25%,0,0分钟
20211021182053,关,关,关,36°C,25%,0,0分钟
20211021182212,关,关,关,37°C,25%,0,0分钟
20211021182218,关,关,关,36°C,25%,0,0分钟
20211021182246,关,关,关,37°C,25%,0,0分钟
20211021182252,开,开,关,37°C,25%,0,18分钟
20211021182334,开,开,关,36°C,25%,0,19分钟
20211021182401,开,开,关,37°C,25%,0,18分钟
20211021182501,开,开,关,37°C,25%,0,17分钟
20211021182523,开,开,关,37°C,25%,0,16分钟
20211021182525,开,开,关,38°C,25%,0,17分钟
20211021182606,开,开,关,38°C,25%,0,16分钟
20211021182642,开,开,关,39°C,25%,0,15分钟
20211021182706,开,开,关,39°C,25%,0,14分钟
20211021182719,开,开,关,40°C,25%,0,14分钟
20211021182743,开,开,关,40°C,25%,0,13分钟
20211021182829,开,开,关,41°C,25%,0,12分钟
20211021182855,开,开,关,41°C,25%,0,11分钟
20211021182918,开,开,关,42°C,25%,0,11分钟
20211021183014,开,开,关,42°C,25%,0,10分钟
20211021183109,开,开,关,43°C,25%,0,9分钟
20211021183141,开,开,关,44°C,25%,0,8分钟
20211021183215,开,开,关,44°C,25%,0,7分钟
20211021183222,开,开,关,45°C,25%,0,7分钟
20211021183258,开,开,关,45°C,25%,0,6分钟
20211021183340,开,开,关,46°C,25%,0,5分钟
20211021183418,开,开,关,46°C,25%,0,4分钟
20211021183423,开,开,关,47°C,25%,0,4分钟
20211021183429,开,开,关,46°C,25%,0,5分钟
20211021183445,开,开,关,47°C,25%,0,4分钟
20211021183517,开,开,关,47°C,25%,0,3分钟
20211021183610,开,开,关,48°C,25%,0,2分钟
20211021183612,开,开,关,48°C,25%,0,1分钟
20211021183639,开,开,关,49°C,25%,0,1分钟
20211021183706,开,开,关,49°C,25%,0,0分钟
20211021183708,开,关,开,50°C,100%,0,0分钟
20211021183755,开,关,开,50°C,50%,0,0分钟
20211021183757,开,关,开,50°C,50%,8,0分钟
20211021183900,开,关,开,50°C,50%,0,0分钟
20211021184940,关,关,关,50°C,50%,0,0分钟
20211021184942,关,关,关,50°C,50%,30,0分钟
20211021184944,关,关,关,50°C,50%,62,0分钟
20211021184946,关,关,关,50°C,50%,61,0分钟
20211021184948,关,关,关,50°C,50%,62,0分钟
20211021184950,关,关,关,50°C,50%,63,0分钟
20211021184952,关,关,关,50°C,50%,62,0分钟
20211021184954,关,关,关,50°C,50%,63,0分钟
20211021184956,关,关,关,50°C,50%,52,0分钟
20211021184958,关,关,关,50°C,50%,23,0分钟
20211021185000,关,关,关,50°C,50%,46,0分钟
20211021185100,关,关,关,50°C,50%,0,0分钟
20211021185102,关,关,关,50°C,50%,57,0分钟
20211021185106,关,关,关,50°C,50%,56,0分钟
20211021185108,关,关,关,50°C,50%,57,0分钟
20211021185110,关,关,关,50°C,50%,56,0分钟
20211021185113,关,关,关,50°C,50%,58,0分钟
20211021185114,关,关,关,50°C,50%,66,0分钟
20211021185117,关,关,关,50°C,50%,65,0分钟
20211021185121,关,关,关,50°C,50%,63,0分钟
20211021185123,关,关,关,50°C,50%,8,0分钟
20211021185135,关,关,关,50°C,50%,0,0分钟
20211021185137,关,关,关,50°C,50%,32,0分钟
20211021185139,关,关,关,50°C,50%,50,0分钟
20211021185145,关,关,关,50°C,50%,51,0分钟
20211021185147,关,关,关,50°C,50%,30,0分钟
20211021185151,关,关,关,50°C,50%,20,0分钟
20211021185155,关,关,关,50°C,50%,18,0分钟
20211021185201,关,关,关,50°C,50%,20,0分钟
20211021185203,关,关,关,50°C,50%,18,0分钟
20211021185207,关,关,关,50°C,50%,20,0分钟
20211021185219,关,关,关,50°C,50%,18,0分钟
20211021185227,关,关,关,50°C,50%,20,0分钟
20211021185233,关,关,关,50°C,50%,18,0分钟
20211021185243,关,关,关,50°C,50%,20,0分钟
20211021185247,关,关,关,50°C,50%,18,0分钟
20211021185249,关,关,关,50°C,50%,20,0分钟
20211021185253,关,关,关,50°C,50%,18,0分钟
20211021185255,关,关,关,50°C,50%,20,0分钟
20211021185258,关,关,关,50°C,50%,18,0分钟
20211021185306,关,关,关,50°C,50%,18,0分钟
20211021185310,关,关,关,50°C,50%,20,0分钟
20211021185316,关,关,关,50°C,50%,18,0分钟
20211021185322,关,关,关,50°C,50%,20,0分钟
20211021185326,关,关,关,50°C,50%,18,0分钟
20211021185328,关,关,关,50°C,50%,20,0分钟
20211021185332,关,关,关,50°C,50%,13,0分钟
20211021185338,关,关,关,50°C,50%,17,0分钟
20211021185340,关,关,关,50°C,50%,16,0分钟
20211021185342,关,关,关,50°C,50%,13,0分钟
20211021185346,关,关,关,50°C,50%,18,0分钟
20211021185350,关,关,关,50°C,50%,17,0分钟
20211021185352,关,关,关,50°C,50%,18,0分钟
20211021185354,关,关,关,50°C,50%,17,0分钟
20211021185400,关,关,关,50°C,50%,20,0分钟
20211021185402,关,关,关,50°C,50%,21,0分钟
20211021185412,关,关,关,50°C,50%,20,0分钟
20211021185414,关,关,关,50°C,50%,21,0分钟
20211021185436,关,关,关,50°C,50%,20,0分钟
20211021185438,关,关,关,50°C,50%,21,0分钟
20211021185513,关,关,关,50°C,50%,20,0分钟
20211021185515,关,关,关,50°C,50%,18,0分钟
20211021185521,关,关,关,50°C,50%,20,0分钟
20211021185527,关,关,关,50°C,50%,18,0分钟
20211021185529,关,关,关,50°C,50%,20,0分钟
20211021185531,关,关,关,50°C,50%,21,0分钟
20211021185533,关,关,关,50°C,50%,20,0分钟
20211021185535,关,关,关,50°C,50%,21,0分钟
20211021185539,关,关,关,50°C,50%,20,0分钟
20211021185541,关,关,关,50°C,50%,21,0分钟
20211021185601,关,关,关,50°C,50%,20,0分钟
20211021185603,关,关,关,50°C,50%,21,0分钟
20211021185605,关,关,关,50°C,50%,18,0分钟
20211021185615,关,关,关,50°C,50%,20,0分钟
20211021185617,关,关,关,50°C,50%,21,0分钟
20211021185623,关,关,关,50°C,50%,20,0分钟
20211021185648,关,关,关,50°C,50%,0,0分钟
20211021185654,关,关,关,49°C,50%,0,0分钟
20211021185700,关,关,关,50°C,50%,0,0分钟
20211021190141,关,关,关,49°C,50%,0,0分钟
20211021190143,关,关,关,49°C,50%,8,0分钟
20211021190459,关,关,关,49°C,50%,0,0分钟
20211021190505,关,关,关,48°C,50%,0,0分钟
20211021190517,关,关,关,49°C,50%,0,0分钟
20211021190541,关,关,关,48°C,50%,0,0分钟
20211021190547,关,关,关,49°C,50%,0,0分钟
20211021191855,关,关,关,48°C,50%,0,0分钟
20211021191901,关,关,关,47°C,50%,0,0分钟
20211021191933,关,关,关,48°C,50%,0,0分钟
20211021191939,关,关,关,48°C,50%,0,0分钟
20211021194618,关,关,关,47°C,50%,0,0分钟
20211021194648,关,关,关,47°C,50%,0,0分钟
20211021195000,关,关,关,46°C,50%,0,0分钟
20211021195002,关,关,关,46°C,50%,51,0分钟
20211021195004,关,关,关,46°C,50%,40,0分钟
20211021195012,关,关,关,46°C,50%,41,0分钟
20211021195014,关,关,关,46°C,50%,42,0分钟
20211021195016,关,关,关,46°C,50%,41,0分钟
20211021195018,关,关,关,46°C,50%,42,0分钟
20211021195022,关,关,关,46°C,50%,41,0分钟
20211021195028,关,关,关,46°C,50%,42,0分钟
20211021195033,关,关,关,46°C,50%,41,0分钟
20211021195035,关,关,关,46°C,50%,42,0分钟
20211021195043,关,关,关,46°C,50%,41,0分钟
20211021195045,关,关,关,46°C,50%,42,0分钟
20211021195047,关,关,关,46°C,50%,41,0分钟
20211021195049,关,关,关,46°C,50%,42,0分钟
20211021195055,关,关,关,46°C,50%,41,0分钟
20211021195057,关,关,关,46°C,50%,42,0分钟
20211021195059,关,关,关,46°C,50%,27,0分钟
20211021195105,关,关,关,46°C,50%,26,0分钟
20211021195113,关,关,关,46°C,50%,27,0分钟
20211021195115,关,关,关,46°C,50%,26,0分钟
20211021195117,关,关,关,46°C,50%,27,0分钟
20211021195119,关,关,关,46°C,50%,26,0分钟
20211021195123,关,关,关,46°C,50%,27,0分钟
20211021195125,关,关,关,46°C,50%,26,0分钟
20211021195129,关,关,关,46°C,50%,27,0分钟
20211021195131,关,关,关,46°C,50%,26,0分钟
20211021195133,关,关,关,46°C,50%,27,0分钟
20211021195135,关,关,关,45°C,50%,26,0分钟
20211021195145,关,关,关,45°C,50%,27,0分钟
20211021195149,关,关,关,45°C,50%,26,0分钟
20211021195155,关,关,关,45°C,50%,27,0分钟
20211021195157,关,关,关,45°C,50%,26,0分钟
20211021195204,关,关,关,45°C,50%,27,0分钟
20211021195205,关,关,关,45°C,50%,26,0分钟
20211021195207,关,关,关,45°C,50%,26,0分钟
20211021195209,关,关,关,45°C,50%,27,0分钟
20211021195220,关,关,关,44°C,50%,27,0分钟
20211021195222,关,关,关,44°C,50%,26,0分钟
20211021195226,关,关,关,44°C,50%,27,0分钟
20211021195230,关,关,关,44°C,50%,26,0分钟
20211021195238,关,关,关,44°C,50%,27,0分钟
20211021195240,关,关,关,44°C,25%,27,0分钟
20211021195242,关,关,关,44°C,25%,26,0分钟
20211021195244,关,关,关,44°C,25%,27,0分钟
20211021195246,关,关,关,44°C,25%,26,0分钟
20211021195252,关,关,关,44°C,25%,27,0分钟
20211021195254,关,关,关,44°C,25%,26,0分钟
20211021195256,关,关,关,44°C,25%,27,0分钟
20211021195258,关,关,关,44°C,25%,28,0分钟
20211021195300,关,关,关,43°C,25%,26,0分钟
20211021195318,关,关,关,43°C,25%,27,0分钟
20211021195322,关,关,关,43°C,25%,26,0分钟
20211021195328,关,关,关,43°C,25%,27,0分钟
20211021195330,关,关,关,42°C,25%,26,0分钟
20211021195348,关,关,关,42°C,25%,27,0分钟
20211021195350,关,关,关,42°C,25%,26,0分钟
20211021195404,关,关,关,42°C,25%,27,0分钟
20211021195407,关,关,关,42°C,25%,26,0分钟
20211021195409,关,关,关,42°C,25%,27,0分钟
20211021195411,关,关,关,42°C,25%,26,0分钟
20211021195431,关,关,关,41°C,25%,27,0分钟
20211021195433,关,关,关,41°C,25%,26,0分钟
20211021195443,关,关,关,41°C,25%,27,0分钟
20211021195445,关,关,关,41°C,25%,28,0分钟
20211021195451,关,关,关,41°C,25%,27,0分钟
20211021195453,关,关,关,41°C,25%,25,0分钟
20211021195455,关,关,关,40°C,25%,35,0分钟
20211021195457,关,关,关,40°C,25%,31,0分钟
20211021195509,关,关,关,40°C,25%,27,0分钟
20211021195511,关,关,关,40°C,25%,21,0分钟
20211021195523,关,关,关,40°C,25%,0,0分钟
20211021195646,关,关,关,39°C,25%,0,0分钟
20211021204045,关,关,关,38°C,25%,0,0分钟
20211021204109,关,关,关,38°C,25%,0,0分钟
20211021204115,关,关,关,37°C,25%,0,0分钟
20211021204453,关,关,关,38°C,25%,0,0分钟
20211021204459,关,关,关,37°C,25%,0,0分钟
20211021204512,关,关,关,38°C,25%,0,0分钟
20211021204518,关,关,关,37°C,25%,0,0分钟
20211021204713,关,关,关,38°C,25%,0,0分钟
20211021204719,关,关,关,37°C,25%,0,0分钟
20211021204807,关,关,关,38°C,25%,0,0分钟
20211021204813,关,关,关,37°C,25%,0,0分钟
20211021204819,关,关,关,38°C,25%,0,0分钟
20211021204827,关,关,关,37°C,25%,0,0分钟
20211021204850,关,关,关,38°C,25%,0,0分钟
20211021204856,关,关,关,37°C,25%,0,0分钟
20211021204902,关,关,关,38°C,25%,0,0分钟
20211021204914,关,关,关,37°C,25%,0,0分钟
20211021204926,关,关,关,38°C,25%,0,0分钟
20211021204938,关,关,关,37°C,25%,0,0分钟
20211021205033,关,关,关,38°C,25%,0,0分钟
20211021205039,关,关,关,37°C,25%,0,0分钟
20211021205109,关,关,关,38°C,25%,0,0分钟
20211021205115,关,关,关,37°C,25%,0,0分钟
20211021205203,关,关,关,38°C,25%,0,0分钟
20211021205210,关,关,关,37°C,25%,0,0分钟
20211021205216,关,关,关,38°C,25%,0,0分钟
20211021205222,关,关,关,37°C,25%,0,0分钟
20211021205234,关,关,关,38°C,25%,0,0分钟
20211021205240,关,关,关,37°C,25%,0,0分钟
20211021205322,关,关,关,38°C,25%,0,0分钟
20211021205346,关,关,关,38°C,25%,0,0分钟
20211021205405,关,关,关,37°C,25%,0,0分钟
20211021205435,关,关,关,38°C,25%,0,0分钟
20211021205447,关,关,关,37°C,25%,0,0分钟
20211021205459,关,关,关,38°C,25%,0,0分钟
20211021205511,关,关,关,37°C,25%,0,0分钟
20211021205517,关,关,关,38°C,25%,0,0分钟
20211021205523,关,关,关,37°C,25%,0,0分钟
20211021205530,关,关,关,38°C,25%,0,0分钟
20211021205536,关,关,关,37°C,25%,0,0分钟
20211021205624,关,关,关,38°C,25%,0,0分钟
20211021205700,关,关,关,37°C,25%,0,0分钟
20211021205706,关,关,关,38°C,25%,0,0分钟
20211021205725,关,关,关,37°C,25%,0,0分钟
20211021205731,关,关,关,38°C,25%,0,0分钟
20211021205831,关,关,关,37°C,25%,0,0分钟
20211021205843,关,关,关,37°C,25%,0,0分钟
20211021205849,关,关,关,38°C,25%,0,0分钟
20211021205901,关,关,关,37°C,25%,0,0分钟
20211021205907,关,关,关,38°C,25%,0,0分钟
20211021205932,关,关,关,37°C,25%,0,0分钟
20211021205938,关,关,关,38°C,25%,0,0分钟
20211021205956,关,关,关,37°C,25%,0,0分钟
20211021210002,关,关,关,38°C,25%,0,0分钟
20211021210012,关,关,关,37°C,25%,0,0分钟
20211021210026,关,关,关,38°C,25%,0,0分钟
20211021210032,关,关,关,37°C,25%,0,0分钟
20211021210038,关,关,关,38°C,25%,0,0分钟
20211021210050,关,关,关,37°C,25%,0,0分钟
20211021210056,关,关,关,38°C,25%,0,0分钟
20211021210215,关,关,关,37°C,25%,0,0分钟
20211021210227,关,关,关,38°C,25%,0,0分钟
20211021210233,关,关,关,37°C,25%,0,0分钟
20211021210239,关,关,关,38°C,25%,0,0分钟
20211021210447,关,关,关,37°C,25%,0,0分钟
20211021210454,关,关,关,38°C,25%,0,0分钟
20211021210535,关,关,关,37°C,25%,0,0分钟
20211021210541,关,关,关,38°C,25%,0,0分钟
20211021210654,关,关,关,37°C,25%,0,0分钟
20211021210700,关,关,关,38°C,25%,0,0分钟
20211021210718,关,关,关,37°C,25%,0,0分钟
20211021210724,关,关,关,38°C,25%,0,0分钟
20211021210736,关,关,关,37°C,25%,0,0分钟
20211021210742,关,关,关,38°C,25%,0,0分钟
20211021210807,关,关,关,37°C,25%,0,0分钟
20211021210813,关,关,关,38°C,25%,0,0分钟
20211021210855,关,关,关,37°C,25%,0,0分钟
20211021210901,关,关,关,38°C,25%,0,0分钟
20211021210936,关,关,关,37°C,25%,0,0分钟
20211021210943,关,关,关,38°C,25%,0,0分钟
20211021211002,关,关,关,37°C,25%,0,0分钟
20211021211008,关,关,关,38°C,25%,0,0分钟
20211021211233,关,关,关,37°C,25%,0,0分钟
20211021211239,关,关,关,38°C,25%,0,0分钟
20211021211309,关,关,关,37°C,25%,0,0分钟
20211021211315,关,关,关,38°C,25%,0,0分钟
20211021211748,关,关,关,37°C,25%,0,0分钟
20211021211754,关,关,关,38°C,25%,0,0分钟
20211021213335,关,关,关,37°C,25%,0,0分钟
20211021213401,开,开,关,37°C,25%,0,17分钟
